Tweet Link,Author Handle,Tweet Content,Views,Likes,Retweets,Replies,Tweet Creation Date,Year,Topic,Topic Group
https://x.com/Independent_ie/status/1498556144494817281,Independent_ie,"‘No limit’ to the number of Ukrainian refugees welcome in Ireland, says Taoiseach",0,729,134,140,2022-03-01,2022,7,Support in Practice
https://x.com/Independent_ie/status/1497838917709615111,Independent_ie,War in Ukraine: Ireland to ban Russian aircraft from entering Irish airspace,0,181,13,27,2022-02-27,2022,-1,n/a
https://x.com/thejournal_ie/status/1496781565313306624,thejournal_ie,"AFP is reporting that confirmed Ukrainian military deaths have risen to five. 

A Ukrainian presidential adviser has also said that Russian forces have launched an attack on Ukraine from the north, east and south.",0,17,2,1,2022-02-24,2022,45,War Reporting
https://x.com/rtenews/status/1507044900008824832,rtenews,"A volunteer group providing aid for Ukrainians arriving at Rosslare Europort is calling for centralised leadership from the Government in coordinating an emergency response 


https://
rte.ie/news/leinster/
2022/0324/1288249-rosslare-ukraine/
…",0,3,2,0,2022-03-24,2022,17,Support in Practice
https://x.com/rtenews/status/1507043735875559438,rtenews,"Taoiseach Micheál Martin has said India's position on Russia’s invasion of Ukraine is ""unacceptable"".

India has failed to condemn Russia and has not participated in sanctions",0,131,28,68,2022-03-24,2022,26,Political Issues
https://x.com/rtenews/status/1507040413902856198,rtenews,"Crude prices have fallen as the US and its allies discussed a possible further coordinated release of oil from storage to help calm energy markets in the wake of Russia's invasion of Ukraine 
https://
rte.ie/news/business/
2022/0324/1288130-world-oil-prices/
…",0,5,2,1,2022-03-24,2022,3,War Reporting
https://x.com/rtenews/status/1507027561041309701,rtenews,"A charity shop in Dublin city centre has opened to provide free essentials for Ukrainian refugees 

https://
rte.ie/news/dublin/20
22/0324/1288242-dublin-shop-ukraine/
…",0,57,24,0,2022-03-24,2022,59,Political Issues
https://x.com/rtenews/status/1507021977424257029,rtenews,"Sasha's paintings have gone on display at the Dunamaise Arts Centre in Portlaoise with all proceeds going towards the Red Cross to support its humanitarian efforts in Ukraine 
https://
rte.ie/news/regional/
2022/0324/1288226-young-ukrainian-artist/
…",0,46,6,1,2022-03-24,2022,-1,n/a
https://x.com/rtenews/status/1506997431334019074,rtenews,"Labour's Ivana Bacik has said she believes that the Government should act unilaterally and expel some Russian diplomats over the war in Ukraine | 
https://
bit.ly/3wzeXQs",0,9,1,3,2022-03-24,2022,-1,n/a
https://x.com/rtenews/status/1506990062004748300,rtenews,"Britain's Prince Charles has described the Russian invasion of Ukraine as ""brutal aggression"" and expressed his support for the people of Ukraine in their current plight",0,20,3,12,2022-03-24,2022,-1,n/a
https://x.com/rtenews/status/1506982307948867588,rtenews,"Western leaders showcased their unity against the Kremlin's war in Ukraine today with Washington seeking more military aid to Ukraine, London imposing fresh sanctions against Moscow and NATO assigning more troops for its eastern flank

https://
rte.ie/news/ukraine/2
022/0324/1288148-nato-g7-eu-summits/
…",0,9,3,3,2022-03-24,2022,-1,n/a
https://x.com/rtenews/status/1506957627288428548,rtenews,One month of war in Ukraine: Our correspondents look at the impact of Russia’s invasion and how the world has changed in four weeks,0,7,8,1,2022-03-24,2022,-1,n/a
https://x.com/rtenews/status/1506949701500903424,rtenews,"More than half of all children in Ukraine have been displaced from their homes since Russia launched its full-scale invasion on 24 February, the United Nations said today

https://
rte.ie/news/ukraine/2
022/0324/1288168-displaced-ukrainian-children/
…",0,13,8,1,2022-03-24,2022,0,War Reporting
https://x.com/rtenews/status/1506931936492756999,rtenews,The Chief Executive of Tusla has said that around 32 unaccompanied minors have been referred to the agency since the Russian invasion of Ukraine,0,4,3,1,2022-03-24,2022,0,War Reporting
https://x.com/rtenews/status/1506894413850677249,rtenews,"As stories of death and destruction continue to unfold in Ukraine, will Vladimir Putin be held accountable? 
https://
rte.ie/news/ukraine/2
022/0324/1288061-ukraine-putin-war-crimes/
…",0,27,5,58,2022-03-24,2022,-1,n/a
https://x.com/rtenews/status/1505827167393181701,rtenews,"'One of the best ways we can actually take on this Putin regime is to stop sending the hundreds of millions of euros we send every day for the imported coal, oil and gas that ... helps fund this war' 
@EamonRyan
 tells 
@MorningIreland
 | Live #Ukraine blog: 
https://
rte.ie/news/2022/0321
/1287496-ukraine-updates/
…",0,197,49,81,2022-03-21,2022,-1,n/a
https://x.com/rtenews/status/1507061500212621316,rtenews,"The world responds: One month into the war, Ukrainian President Volodomyr Zelensky and the people of Ukraine are still pleading for the world to do more, and to help them close their skies, writes 
@gailconwaymedia
  
https://
bit.ly/3NmU94D",0,2,1,2,2022-03-24,2022,2,Political Issues
https://x.com/rtenews/status/1507061498560012293,rtenews,"Stories from the war: 
@emma_okelly
 was on the Polish-Ukrainian border earlier this month as people fleeing the conflict flocked out of Ukraine. She details the trauma, loss and devastation she witnessed 
https://
bit.ly/357BZ5F",0,3,1,1,2022-03-24,2022,0,War Reporting
https://x.com/rtenews/status/1507058536966201344,rtenews,"US President Joe Biden has said he thinks Russia should be removed from the Group of Twenty (G20) major economies

https://
rte.ie/news/ukraine/2
022/0324/1288148-nato-g7-eu-summits/
…",0,31,5,10,2022-03-24,2022,21,Lived Experience
https://x.com/rtenews/status/1507056217159520261,rtenews,"War in Europe: Despite Vladimir Putin having grossly miscalculated, there is no sign that he will back down, or that Ukraine will surrender, or that the West will grow tired of supporting the country militarily and financially,
 
@tconnellyRTE
 writes 
https://
bit.ly/357CVXM",0,29,10,6,2022-03-24,2022,14,War Reporting
https://x.com/rtenews/status/1507055707581038593,rtenews,One month of war in Ukraine: RTÉ News correspondents look at the impact of Russia’s invasion and how the world has changed in four weeks,0,24,7,7,2022-03-24,2022,-1,n/a
https://x.com/rtenews/status/1507045277643026441,rtenews,"What is the likelihood that Russian President Vladimir Putin would authorise a so-called ""tactical"" nuclear strike against a country he has repeatedly claimed forms ""one people"" with Russia 
https://
rte.ie/news/ukraine/2
022/0324/1288258-nuclear-weapons/
…",0,8,4,11,2022-03-24,2022,32,n/a
https://x.com/rtenews/status/1507000246894743557,rtenews,"Britain's Prince Charles has described the Russian invasion of Ukraine as 'brutal aggression'. 

Speaking in Waterford he also expressed his support for the people of Ukraine in their current plight | Read more: 
https://
bit.ly/3JBJlgF",0,25,12,8,2022-03-24,2022,-1,n/a
https://x.com/rtenews/status/1503631763406471172,rtenews,"A dissenting employee entered the studio during Russia's most-watched evening news broadcast, holding up a poster saying ""No War"" and condemning Moscow's military action in Ukraine | Read more: 
https://
bit.ly/3KGxm1C",0,226,37,13,2022-03-15,2022,-1,n/a
https://x.com/rtenews/status/1496759018253135872,rtenews,"""In the name of humanity, bring your troops back to Russia,” United Nations Secretary General Antonio Guterres appeals to President Vladimir Putin after Russia launches 'full-scale' invasion of Ukraine | Follow live updates: 
http://
bit.ly/3pdBLkh",0,182,45,9,2022-02-24,2022,6,Political Issues
https://x.com/rtenews/status/1496751246170075138,rtenews,"Air raid sirens are heard going off across the Ukrainian capital Kyiv as Russia launches a 'full-scale invasion' | Live updates: 
http://
bit.ly/3pdBLkh",0,919,312,17,2022-02-24,2022,57,War Reporting
https://x.com/irishexaminer/status/1505697457983791104,irishexaminer,"Russia orders Ukrainians to lay down arms in besieged Mariupol 
https://
irishexaminer.com/world/arid-408
33185.html?utm_source=dlvr.it&utm_medium=twitter
…",0,1,1,0,2022-03-21,2022,-1,n/a
https://x.com/irishexaminer/status/1506908677537738754,irishexaminer,"Ukrainian President Volodymyr Zelenskyy has called on people around the world to come “to your squares, your streets” to stand with Ukraine and against the war on Thursday

https://
irishexaminer.com/world/arid-408
35525.html
…",0,9,0,3,2022-03-24,2022,2,Political Issues
https://x.com/irishexaminer/status/1506888957983801345,irishexaminer,"Ukraine: Volodymyr Zelenskyy calls for worldwide demonstrations on Thursday 
https://
irishexaminer.com/world/arid-408
35525.html?utm_source=dlvr.it&utm_medium=twitter
…",0,3,4,3,2022-03-24,2022,2,Political Issues
https://x.com/irishexaminer/status/1506173842934439939,irishexaminer,"Latest: Ukrainian President Volodymyr Zelenskyy says he is prepared to discuss a commitment from Ukraine not to seek Nato membership in exchange for a cease-fire, the withdrawal of Russian troops and a guarantee of Ukraine’s security

https://
irishexaminer.com/world/arid-408
33887.html
…",0,7,3,1,2022-03-22,2022,10,Ethnocentric / Irish Politics
https://x.com/irishexaminer/status/1506163278170316804,irishexaminer,"War in Ukraine gives impetus to accelerate production of renewable energy 
https://
irishexaminer.com/opinion/commen
tanalysis/arid-40833752.html?utm_source=dlvr.it&utm_medium=twitter
…",0,1,0,1,2022-03-22,2022,3,War Reporting
https://x.com/irishexaminer/status/1506157003042828289,irishexaminer,"Government preparing for up to 200,000 Ukrainian refugees  
https://
irishexaminer.com/news/arid-4083
3833.html?utm_source=dlvr.it&utm_medium=twitter
…",0,32,50,73,2022-03-22,2022,4,Economic Issues
https://x.com/irishexaminer/status/1506156995757240321,irishexaminer,"War in Ukraine gives impetus to accelerate production of renewable energy 
https://
irishexaminer.com/news/arid-4083
3752.html?utm_source=dlvr.it&utm_medium=twitter
…",0,0,0,1,2022-03-22,2022,3,War Reporting
https://x.com/irishexaminer/status/1506143016670572548,irishexaminer,"Ukraine prepared to ‘compromise’ on Nato in exchange for Russian ceasefire 
https://
irishexaminer.com/world/arid-408
33887.html?utm_source=dlvr.it&utm_medium=twitter
…",0,0,0,1,2022-03-22,2022,16,War Reporting
https://x.com/irishexaminer/status/1496779702555447297,irishexaminer,"Johnson: Putin has chosen ‘path of bloodshed’ by launching attack on Ukraine 
https://
irishexaminer.com/world/arid-408
15303.html?utm_source=dlvr.it&utm_medium=twitter
…",0,4,0,3,2022-02-24,2022,-1,n/a
https://x.com/irishexaminer/status/1496779695341203459,irishexaminer,"Australia considering sanctions on 300 Russian politicians over Ukraine 
https://
irishexaminer.com/world/arid-408
15306.html?utm_source=dlvr.it&utm_medium=twitter
…",0,11,1,4,2022-02-24,2022,15,Ethnocentric / Irish Politics
https://x.com/irishexaminer/status/1496771657276420096,irishexaminer,"What to know as Russia attacks Ukraine 
https://
irishexaminer.com/world/arid-408
15261.html?utm_source=dlvr.it&utm_medium=twitter
…",0,1,0,1,2022-02-24,2022,-1,n/a
https://x.com/irishexaminer/status/1496757678864957445,irishexaminer,"Russia attacks Ukraine as defiant Putin warns US and Nato 
https://
irishexaminer.com/world/arid-408
15234.html?utm_source=dlvr.it&utm_medium=twitter
…",0,10,2,3,2022-02-24,2022,-1,n/a
